query_id,question,method,recall_at_1,recall_at_3,recall_at_5,mrr,ndcg_at_5,top_sources
roya_sintomas,¿Cuáles son los síntomas de la roya en caña de azúcar?,tfidf,0.2727272727272727,0.8181818181818182,0.8181818181818182,1.0,0.8261078551793944,"['manualplagasenfs-canaazucar-mor.pdf', 'Guia-Tecnica-del-Canero-PROICSA.pdf', 'roya_rust_cana.md']"
mosaico_manejo,¿Cómo se maneja el mosaico en caña de azúcar?,tfidf,0.5555555555555556,0.5555555555555556,0.5555555555555556,1.0,0.9899329077308577,"['Guia-Tecnica-del-Canero-PROICSA.pdf', 'DE00006_EXAMENCOMPLEXIVO.pdf', 'libro_p265-293.pdf']"
redrot_sintomas,¿Qué es la podredumbre roja y cómo afecta la caña?,tfidf,0.6666666666666666,0.6666666666666666,0.8888888888888888,1.0,0.9946573017565196,"['podredumbre_roja_redrot_cana.md', 'enfermedades_cana_azucar.md', 'manejo_integrado_enfermedades_cana.md']"
yellow_sintomas,¿Cuáles son los síntomas del amarillamiento en hojas de caña?,tfidf,0.6,0.7,0.7,1.0,0.9657447876642805,"['amarillamiento_yellow_cana.md', 'Guia-Tecnica-del-Canero-PROICSA.pdf', 'ENFERMEDADESOCASIONADASPORVIRUSENCAADEAZCARENELOCCIDENTEDEMXICO.pdf']"
healthy_monitoreo,¿Qué prácticas se recomiendan para mantener hojas sanas en caña?,tfidf,0.5,0.6666666666666666,0.6666666666666666,1.0,1.0,"['hoja_sana_healthy_cana.md', 'ENFERMEDADESOCASIONADASPORVIRUSENCAADEAZCARENELOCCIDENTEDEMXICO.pdf', 'enfermedades_cana_azucar.md']"
manejo_integrado,¿Qué es el manejo integrado de enfermedades foliares en caña de azúcar?,tfidf,0.5,0.7,0.7,1.0,0.9583310220866086,"['EscalasEvaluacinEnfermedades.pdf', 'manejo_integrado_enfermedades_cana.md', '2._GUIA_PARA_EL_MANEJO_FITOSANITARIO_DE_LA_CA_A_DE_AZ_CAR.pdf']"
bacterial_blight,¿Cuáles son los síntomas del tizón bacteriano en caña de azúcar?,tfidf,0.18181818181818182,0.36363636363636365,0.36363636363636365,1.0,1.0,"['libro_p265-293.pdf', 'libro_p265-293.pdf', '21052_417.pdf']"
plagas_cana,¿Cuáles son las principales plagas de la caña de azúcar en Colombia?,tfidf,0.6363636363636364,0.7272727272727273,0.7272727272727273,1.0,0.986724338719327,"['gm_enfermedades_2016_Cartilla_didactica_No2.pdf', 'manualplagasenfs-canaazucar-mor.pdf', 'Guia-Tecnica-del-Canero-PROICSA.pdf']"
fertilizacion_cana,¿Cómo se fertiliza la caña de azúcar para prevenir deficiencias nutricionales?,tfidf,0.16666666666666666,0.5833333333333334,0.5833333333333334,1.0,0.8542670784788277,"['manejo_integrado_enfermedades_cana.md', 'Guia-Tecnica-del-Canero-PROICSA.pdf', 'amarillamiento_yellow_cana.md']"
escalas_severidad,¿Cómo se evalúa la severidad de enfermedades foliares en caña?,tfidf,0.5,0.6,0.6,1.0,0.9646474086659645,"['EscalasEvaluacinEnfermedades.pdf', 'EscalasEvaluacinEnfermedades.pdf', 'enfermedades_cana_azucar.md']"
roya_sintomas,¿Cuáles son los síntomas de la roya en caña de azúcar?,bm25,0.6363636363636364,0.8181818181818182,0.8181818181818182,1.0,0.9755900019447109,"['MANUAL ENFERMEDAD DE CANA.pdf', 'roya_rust_cana.md', 'manejo_integrado_enfermedades_cana.md']"
mosaico_manejo,¿Cómo se maneja el mosaico en caña de azúcar?,bm25,0.7777777777777778,0.7777777777777778,0.7777777777777778,1.0,0.9955740410793988,"['mosaico_cana.md', 'manejo_integrado_enfermedades_cana.md', 'Principales_enfermedades_que_afectan_el_cultivo_de.pdf']"
redrot_sintomas,¿Qué es la podredumbre roja y cómo afecta la caña?,bm25,0.6666666666666666,0.8888888888888888,0.8888888888888888,1.0,1.0,"['podredumbre_roja_redrot_cana.md', 'Guia-Tecnica-del-Canero-PROICSA.pdf', 'enfermedades_cana_azucar.md']"
yellow_sintomas,¿Cuáles son los síntomas del amarillamiento en hojas de caña?,bm25,0.6,0.7,0.7,1.0,0.9388364164712879,"['amarillamiento_yellow_cana.md', 'mosaico_cana.md', 'DE00006_EXAMENCOMPLEXIVO.pdf']"
healthy_monitoreo,¿Qué prácticas se recomiendan para mantener hojas sanas en caña?,bm25,0.5,0.75,0.75,1.0,1.0,"['hoja_sana_healthy_cana.md', 'ENFERMEDADESOCASIONADASPORVIRUSENCAADEAZCARENELOCCIDENTEDEMXICO.pdf', 'MANUAL ENFERMEDAD DE CANA.pdf']"
manejo_integrado,¿Qué es el manejo integrado de enfermedades foliares en caña de azúcar?,bm25,0.5,0.7,0.8,1.0,0.961633124328158,"['EscalasEvaluacinEnfermedades.pdf', 'MANEJO_1.PDF', 'manejo_integrado_enfermedades_cana.md']"
bacterial_blight,¿Cuáles son los síntomas del tizón bacteriano en caña de azúcar?,bm25,0.09090909090909091,0.36363636363636365,0.5454545454545454,1.0,0.7394632663990403,"['MANUAL ENFERMEDAD DE CANA.pdf', 'Enfermedades_de_la_cana_de_azucar_en_Col.pdf', '21052_417.pdf']"
plagas_cana,¿Cuáles son las principales plagas de la caña de azúcar en Colombia?,bm25,0.5454545454545454,0.7272727272727273,0.7272727272727273,1.0,0.9637020263803925,"['Guia-Tecnica-del-Canero-PROICSA.pdf', 'Guia-Tecnica-del-Canero-PROICSA.pdf', 'gm_enfermedades_2016_Cartilla_didactica_No2.pdf']"
fertilizacion_cana,¿Cómo se fertiliza la caña de azúcar para prevenir deficiencias nutricionales?,bm25,0.4166666666666667,0.5833333333333334,0.5833333333333334,1.0,1.0,"['Guia-Tecnica-del-Canero-PROICSA.pdf', 'amarillamiento_yellow_cana.md', 'gm_enfermedades_2016_Cartilla_didactica_No2.pdf']"
escalas_severidad,¿Cómo se evalúa la severidad de enfermedades foliares en caña?,bm25,0.5,0.7,0.7,1.0,0.9583310220866086,"['EscalasEvaluacinEnfermedades.pdf', 'EscalasEvaluacinEnfermedades.pdf', 'EscalasEvaluacinEnfermedades.pdf']"
roya_sintomas,¿Cuáles son los síntomas de la roya en caña de azúcar?,semantic,0.6363636363636364,0.8181818181818182,0.8181818181818182,1.0,0.9429449285136452,"['MANUAL ENFERMEDAD DE CANA.pdf', 'roya_rust_cana.md', 'Guia-Tecnica-del-Canero-PROICSA.pdf']"
